Run,MAP,MRR,P@10,R@100,NDCG@10,NDCG@100
KNN,0.6795958787723274,0.8402564102564103,0.7723076923076923,0.8970901985768461,0.7450988037226096,0.8309349137722087
JM,0.518334270253949,0.8284798534798534,0.6923076923076923,0.7386910966846781,0.6661065984369253,0.6950509197929009
BM25,0.5849255526170665,0.8153846153846154,0.6876923076923077,0.818550932250894,0.6590662062209155,0.7525618590420329
LMD,0.5178362465598998,0.8132478632478632,0.6707692307692308,0.7543833746913371,0.6318929129094721,0.6996891877588631
